,,,
 First copy final kws from 2nd sheet (seed kws) ,,,
 Then copy  kws from 3rd sheet (Reverse ASIN) and paste below it ,,,
" After that, remove duplicates.. That will be our all kws ",,,
,,,
,,,
,Software,Keywords,MW Search Vol
,MW,blue light blocking glasses,2588342
,MW,blue light blocking glasses women,397935
,MW,computer glasses,341853
,H10,halloween lights,228885
,H10,computer desk,212857
,H10,gaming pc,203633
,H10,gaming pc,203633
,H10,xbox one,195319
,H10,blue light blocking glasses,190616
,H10,blue light blocking glasses,190616
,H10,computer glasses women,151519
,H10,gaming glasses,127934
,MW,playstation 4,122775
,H10,blue light blocking glasses women,108202
,MW,blue light blocking glasses women,108202
,H10,blue blocking glasses,94569
,H10,xbox one x,90973
,H10,ps4 pro,90966
,H10,reading glasses,83461
,H10,black light,77076
,MW,black light,77076
,H10,nutuff blue light glasses,77013
,H10,nutuff blue light glasses,77013
,H10,lifeart blue-light blocking glasses,66441
,H10,game glasses,64845
,H10,blue light glasses,63897
,H10,blue light glasses,63897
,H10,anrri blue light blocking glasses,58701
,H10,anrri blue light blocking computer glasses,57451
,H10,colored contact lenses,53973
,H10,gaming monitor,52939
,H10,reading glasses women,45714
,H10,gaming computer,45687
,H10,gaming computer,45687
,MW,ps4 console,45681
,MW,tijn blue light blocking glasses,41995
,H10,antiglare computer glasses,41909
,H10,blue-light blocking glasses,40926
,H10,tjin blue light blocking glasses women,39993
,MW,prospek computer glasses,39529
,MW,meetsun blue light blocking glasses 2 pack,38201
,H10,gunnar optiks computer glasses,36919
,H10,tijn blue light blocking glasses women,35991
,H10,reading glasses men,35681
,H10,anti glare computer glasses,35177
,H10,blue ray glasses,34849
,H10,xbox 360,34419
,H10,doldoa tempered glass computer monitor stand,33606
,H10,blue blocking glasses women,32161
,H10,uvex blue blocking glasses,29813
,H10,cgid ct84 computer glasses,29737
,H10,tijn blue light blocking glasses square nerd eyeglasses frame,29514
,MW,cyxus blue light blocking glasses,29500
,MW,pc gaming,28900
,MW,prive revaux blue light blocking glasses,28639
,H10,uv light,28381
,MW,uv light,28381
,H10,computer glasses,28374
,MW,computer glasses,28374
,H10,reading light,28368
,MW,reading light,28368
,MW,ps4 accessories,28313
,MW,gunnar computer glasses,27687
,H10,blue light blocking glasses for men,27345
,H10,eyekeeper computer reading glasses,26854
,H10,computer reading glasses,25989
,MW,blue-blocking glasses,25942
,MW,roulette shot glass game,25868
,H10,tijn blue light blocking glasses square nerd,23176
,MW,cyxus blue light blocking glasses women,23135
,MW,eyehopper computer glasses,22449
,MW,tijn blue light blocking glasses square nerd eyeglasses frame women,22329
,MW,fitover blue light blocking glasses,21400
,MW,gunnar gaming glasses,20473
,MW,lifeart blue-light blocking glasses 1.50,20413
,H10,eyebrow tint,20390
,H10,blue light glasses women,20387
,MW,blue light glasses women,20387
,H10,anyluv computer glasses,20270
,H10,uvex skyper blue light blocking computer glasses,19775
,H10,fonhcoo computer glasses,19399
,H10,eyekepper computer glasses,19178
,H10,anrri blue light blocking glasses for computer use,18807
,H10,ergonomic keyboard,18486
,H10,fake glasses,18471
,H10,fake glasses,18471
,H10,livho blue light blocking glasses,18351
,H10,gekkale blue light blocking glasses,18248
